GR,s,h,rho,rho_scaled,window,mean,sd
1,0.05,0.5,"0,00000005","0,00000005",770833,3.686299376901562e-05,2.937471976207409e-05
1,0.05,0.5,"0,00000005","0,00000005",791666,3.7323207921921706e-05,2.8998654967279576e-05
1,0.05,0.5,"0,00000005","0,00000005",812500,3.473817953784555e-05,2.7323049783466885e-05
1,0.05,0.5,"0,00000005","0,00000005",833333,3.7034276294551506e-05,2.8284292653174185e-05
1,0.05,0.5,"0,00000005","0,00000005",854166,3.918877666768131e-05,2.976084838959121e-05
1,0.05,0.5,"0,00000005","0,00000005",875000,3.628233121778409e-05,2.7452462243618312e-05
1,0.05,0.5,"0,00000005","0,00000005",895833,3.922874637344834e-05,2.7165950793581828e-05
1,0.05,0.5,"0,00000005","0,00000005",916666,4.2505990847010045e-05,3.0603271683678035e-05
1,0.05,0.5,"0,00000005","0,00000005",937500,3.905570715467107e-05,2.9857191137255385e-05
1,0.05,0.5,"0,00000005","0,00000005",958333,3.7721705888408035e-05,2.804792301778131e-05
1,0.05,0.5,"0,00000005","0,00000005",979166,3.892232183164022e-05,2.8678059342850267e-05
1,0.05,0.5,"0,00000005","0,00000005",1000000,4.163030199942028e-05,3.0148552678626968e-05
1,0.05,0.5,"0,00000005","0,00000005",chr2,4.034207983806808e-05,4.8858539606445395e-06
