GR,s,h,rho,rho_scaled,window,mean,sd
1,0.05,0.8,5e-08,5e-08,395833,3.0432208593970394e-05,2.609801465627492e-05
1,0.05,0.8,5e-08,5e-08,416666,2.8488501540703834e-05,2.541447903780054e-05
1,0.05,0.8,5e-08,5e-08,437500,2.558471228587877e-05,2.431162131979956e-05
1,0.05,0.8,5e-08,5e-08,458333,2.1171227768025307e-05,2.073033951054679e-05
1,0.05,0.8,5e-08,5e-08,479166,1.4555451938726335e-05,1.4336412105980137e-05
1,0.05,0.8,5e-08,5e-08,500000,9.838130085473656e-06,9.975619219429633e-06
1,0.05,0.8,5e-08,5e-08,520833,1.4894710853641231e-05,1.6487379364579362e-05
1,0.05,0.8,5e-08,5e-08,541666,1.9340921184907672e-05,1.8476118448324022e-05
1,0.05,0.8,5e-08,5e-08,562500,2.6210544122072413e-05,2.354548904531226e-05
1,0.05,0.8,5e-08,5e-08,583333,2.5613332569019602e-05,2.2932345724620386e-05
1,0.05,0.8,5e-08,5e-08,604166,2.8164110369428068e-05,2.3154491927047947e-05
1,0.05,0.8,5e-08,5e-08,625000,3.187046922439723e-05,2.757427064423102e-05
1,0.05,0.8,5e-08,5e-08,645833,2.9856965575495302e-05,2.320478557421074e-05
1,0.05,0.8,5e-08,5e-08,666666,3.2646831299824285e-05,2.6797897207102535e-05
1,0.05,0.8,5e-08,5e-08,687500,3.481478814056359e-05,2.8166271462795986e-05
1,0.05,0.8,5e-08,5e-08,708333,3.660453287412597e-05,3.0137685686441108e-05
1,0.05,0.8,5e-08,5e-08,729166,3.7650026882734124e-05,2.854584204615338e-05
1,0.05,0.8,5e-08,5e-08,750000,3.6513448417440415e-05,2.6152783835223077e-05
1,0.05,0.8,5e-08,5e-08,770833,3.763013085141958e-05,2.8242592966539746e-05
1,0.05,0.8,5e-08,5e-08,791666,3.793521320063904e-05,2.9517336210806603e-05
1,0.05,0.8,5e-08,5e-08,812500,3.5580232678637284e-05,2.7112206333920124e-05
1,0.05,0.8,5e-08,5e-08,833333,3.8696868018462816e-05,2.963408516635093e-05
1,0.05,0.8,5e-08,5e-08,854166,3.719114011882125e-05,2.884347945631576e-05
1,0.05,0.8,5e-08,5e-08,875000,4.031763781983929e-05,3.091420379981928e-05
1,0.05,0.8,5e-08,5e-08,895833,3.749970624733386e-05,2.6267771984236154e-05
1,0.05,0.8,5e-08,5e-08,916666,3.645080741193814e-05,2.709048524535744e-05
1,0.05,0.8,5e-08,5e-08,937500,3.8610360745402576e-05,2.982988730658472e-05
1,0.05,0.8,5e-08,5e-08,958333,3.9364159788957e-05,2.9918217436695213e-05
1,0.05,0.8,5e-08,5e-08,979166,3.9560475193178407e-05,2.888298124145451e-05
1,0.05,0.8,5e-08,5e-08,1000000,3.689760754934444e-05,2.649952925647382e-05
1,0.05,0.8,5e-08,5e-08,chr2,3.9861119626187025e-05,5.181866265691803e-06
