GR,s,h,rho,rho_scaled,window,mean,sd
50,0.05,0.5,1e-08,5e-07,479166,9.304503394446506e-06,1.1731893047174827e-05
50,0.05,0.5,1e-08,5e-07,500000,6.983865482745608e-06,7.86649252472139e-06
50,0.05,0.5,1e-08,5e-07,520833,8.679382130800292e-06,1.0350286749979021e-05
50,0.05,0.5,1e-08,5e-07,541666,8.887555214398272e-06,1.1208402733532055e-05
50,0.05,0.5,1e-08,5e-07,562500,1.1443716588755323e-05,1.370434491231458e-05
50,0.05,0.5,1e-08,5e-07,583333,1.4163526768300148e-05,1.69082793758765e-05
50,0.05,0.5,1e-08,5e-07,604166,1.5549636688006583e-05,1.949936844617935e-05
50,0.05,0.5,1e-08,5e-07,625000,1.615959676912725e-05,1.842869693182591e-05
50,0.05,0.5,1e-08,5e-07,645833,1.714690508291517e-05,1.9946875469534468e-05
50,0.05,0.5,1e-08,5e-07,666666,1.852205047346019e-05,1.939818530038793e-05
50,0.05,0.5,1e-08,5e-07,687500,2.0542326653191876e-05,2.209878914072474e-05
50,0.05,0.5,1e-08,5e-07,708333,2.0521295679614906e-05,2.1475557926309655e-05
50,0.05,0.5,1e-08,5e-07,729166,2.0720956696243898e-05,2.2246100198155362e-05
50,0.05,0.5,1e-08,5e-07,750000,2.2199794131659746e-05,2.284805374343987e-05
50,0.05,0.5,1e-08,5e-07,770833,2.3036352405943444e-05,2.1582681218117866e-05
50,0.05,0.5,1e-08,5e-07,791666,2.2599004872360038e-05,2.124655526715384e-05
50,0.05,0.5,1e-08,5e-07,812500,2.663371474643738e-05,2.4381676559114656e-05
50,0.05,0.5,1e-08,5e-07,833333,2.5894038332254207e-05,2.3196532852737567e-05
50,0.05,0.5,1e-08,5e-07,854166,2.6472469058126934e-05,2.7044681443222875e-05
50,0.05,0.5,1e-08,5e-07,875000,2.737192656220023e-05,2.5648339951757234e-05
50,0.05,0.5,1e-08,5e-07,895833,2.778627328665122e-05,2.5320470632685494e-05
50,0.05,0.5,1e-08,5e-07,916666,2.7908131543920736e-05,2.4832122214898773e-05
50,0.05,0.5,1e-08,5e-07,937500,2.7820163649515158e-05,2.5337701275775082e-05
50,0.05,0.5,1e-08,5e-07,958333,2.794484445884688e-05,2.537502605323506e-05
50,0.05,0.5,1e-08,5e-07,979166,2.8061388225609217e-05,2.5442916593451802e-05
50,0.05,0.5,1e-08,5e-07,1000000,2.9714436233243895e-05,2.54398182290392e-05
50,0.05,0.5,1e-08,5e-07,chr2,3.5477149273421206e-05,7.93190625516536e-06
10,0.05,0.5,1e-08,1e-07,0,3.234508469394941e-05,2.7517100120167403e-05
10,0.05,0.5,1e-08,1e-07,20833,3.128847318570067e-05,2.8246826941612998e-05
10,0.05,0.5,1e-08,1e-07,41666,3.065544186793818e-05,2.639727002210354e-05
10,0.05,0.5,1e-08,1e-07,62500,3.172255405938108e-05,2.7615812935464854e-05
10,0.05,0.5,1e-08,1e-07,83333,3.035415417350025e-05,2.7554202069424426e-05
10,0.05,0.5,1e-08,1e-07,104166,2.6998243397553046e-05,2.4199450535896754e-05
10,0.05,0.5,1e-08,1e-07,125000,2.7969325961837464e-05,2.31497811537946e-05
10,0.05,0.5,1e-08,1e-07,145833,2.5382894878950745e-05,2.292749501232205e-05
10,0.05,0.5,1e-08,1e-07,166666,2.7138522261197315e-05,2.5084756289374777e-05
10,0.05,0.5,1e-08,1e-07,187500,2.7839640245645497e-05,2.6399884137706694e-05
10,0.05,0.5,1e-08,1e-07,208333,2.6795853584962827e-05,2.5527720299656216e-05
10,0.05,0.5,1e-08,1e-07,229166,2.365857709955404e-05,2.3183002144884796e-05
10,0.05,0.5,1e-08,1e-07,250000,2.2942241914077442e-05,2.2377719142800945e-05
10,0.05,0.5,1e-08,1e-07,270833,2.236881390886994e-05,2.242617111604407e-05
10,0.05,0.5,1e-08,1e-07,291666,2.067090574246822e-05,2.2630898786266985e-05
10,0.05,0.5,1e-08,1e-07,312500,2.0788268641472326e-05,2.2692419262392936e-05
10,0.05,0.5,1e-08,1e-07,333333,1.8902567006882055e-05,2.1449681939745755e-05
10,0.05,0.5,1e-08,1e-07,354166,1.751240583675168e-05,1.884598469906344e-05
10,0.05,0.5,1e-08,1e-07,375000,1.4867020083297831e-05,1.7006262575448278e-05
10,0.05,0.5,1e-08,1e-07,395833,1.5585915364153888e-05,1.769053169270492e-05
10,0.05,0.5,1e-08,1e-07,416666,1.279903503142773e-05,1.4499239774331987e-05
10,0.05,0.5,1e-08,1e-07,437500,1.1773772602281207e-05,1.4887891858438672e-05
10,0.05,0.5,1e-08,1e-07,458333,8.98872298077004e-06,1.1700459524196306e-05
10,0.05,0.5,1e-08,1e-07,479166,6.687065006978157e-06,7.838543147579113e-06
10,0.05,0.5,1e-08,1e-07,500000,6.41002731687469e-06,8.15681809975872e-06
10,0.05,0.5,1e-08,1e-07,520833,8.497653201918158e-06,1.0777173487265325e-05
